id,study,start_date,dob1,dob2,gender,ethnic,eng,edu,emp,age,honest,honest1,honest2
1_34,1,2017-08-26T20:18:11Z,1998,2,Male,White/Caucasian,Yes,High School,Student,19.5,NA,NA,NA
1_35,1,2017-08-26T17:20:20Z,1998,8,Female,White/Caucasian,Yes,High School,Student,19,NA,NA,NA
1_36,1,2017-08-26T20:32:27Z,1998,4,Male,White/Caucasian,Yes,High School,"Student,Part time",19.3333333333333,NA,NA,NA
1_38,1,2017-08-26T19:09:59Z,1997,8,Female,"South Asian/Desi (Indian, Pakistani, Sri Lankan etc.)",Yes,High School,Student,20,NA,NA,NA
1_39,1,2017-08-26T22:27:42Z,1993,2,Female,Other Asian,No,Bachelor degree,Full time,24.5,NA,NA,NA
1_40,1,2017-08-26T22:42:23Z,1998,9,Female,Chinese,Yes,High School,Student,18.9166666666667,NA,NA,NA
1_41,1,2017-08-27T12:06:00Z,1999,2,Male,Middle Eastern,Yes,High School,Student,18.5,NA,NA,NA
1_42,1,2017-08-27T17:29:33Z,1998,9,Female,White/Caucasian,Yes,High School,Student,18.9166666666667,NA,NA,NA
1_43,1,2017-08-27T17:57:50Z,1997,8,Male,Other Asian,No,High School,Full time,20,NA,NA,NA
1_45,1,2017-08-27T21:20:36Z,1997,7,Female,White/Caucasian,Yes,High School,"Student,Part time",20.0833333333333,NA,NA,NA
1_47,1,2017-08-28T11:20:35Z,1998,3,Female,"White/Caucasian,Chinese",Yes,High School,"Student,Full time",19.4166666666667,NA,NA,NA
1_48,1,2017-08-28T09:47:25Z,1999,2,Female,"White/Caucasian,Other Asian,African or African American",Yes,High School,Student,18.5,NA,NA,NA
1_49,1,2017-08-28T11:51:29Z,1999,3,Female,Indonesian,No,High School,"Student,Not employed",18.4166666666667,NA,NA,NA
1_50,1,2017-08-28T15:47:52Z,1992,6,Male,White/Caucasian,Yes,Bachelor degree,Student,25.1666666666667,NA,NA,NA
1_51,1,2017-08-28T15:46:51Z,1998,11,Female,White/Caucasian,Yes,High School,Student,18.75,NA,NA,NA
1_52,1,2017-08-28T16:42:03Z,1999,2,Female,White/Caucasian,Yes,High School,"Student,Part time",18.5,NA,NA,NA
1_53,1,2017-08-28T17:02:58Z,1998,8,Male,Chinese,Yes,High School,Student,19,NA,NA,NA
1_54,1,2017-08-28T20:24:50Z,1999,3,Female,White/Caucasian,Yes,High School,Student,18.4166666666667,NA,NA,NA
1_55,1,2017-08-28T19:20:25Z,1997,9,Female,Chinese,No,High School,Student,19.9166666666667,NA,NA,NA
1_56,1,2017-08-28T22:08:38Z,1998,2,Male,Chinese,Yes,High School,Not employed,19.5,NA,NA,NA
1_57,1,2017-08-28T23:51:33Z,1997,9,Female,"Chinese,Other Asian",Yes,High School,"Student,Not employed",19.9166666666667,NA,NA,NA
1_59,1,2017-08-29T11:16:29Z,1999,3,Male,Chinese,Yes,High School,Student,18.4166666666667,NA,NA,NA
1_60,1,2017-08-29T14:40:33Z,1997,3,Female,Other Asian,Yes,High School,Student,20.4166666666667,NA,NA,NA
1_61,1,2017-08-29T17:47:51Z,1998,12,Male,White/Caucasian,Yes,High School,"Student,Part time",18.6666666666667,NA,NA,NA
1_62,1,2017-08-29T19:34:46Z,1998,8,Female,"Chinese,Indonesian",Yes,High School,"Student,Part time",19,NA,NA,NA
1_63,1,2017-08-29T16:52:13Z,1998,9,Male,White/Caucasian,Yes,High School,Student,18.9166666666667,NA,NA,NA
1_64,1,2017-08-29T18:50:06Z,1999,8,Female,Indonesian,Yes,High School,Student,18,NA,NA,NA
1_67,1,2017-08-30T01:26:47Z,1998,7,Male,Chinese,No,High School,Part time,19.0833333333333,NA,NA,NA
1_68,1,2017-08-30T08:25:06Z,1998,9,Female,"South Asian/Desi (Indian, Pakistani, Sri Lankan etc.)",Yes,High School,Student,18.9166666666667,NA,NA,NA
1_69,1,2017-08-30T10:12:07Z,1997,5,Female,White/Caucasian,Yes,High School,"Student,Full time",20.25,NA,NA,NA
1_70,1,2017-08-30T10:20:00Z,1998,4,Male,White/Caucasian,Yes,High School,"Student,Part time",19.3333333333333,NA,NA,NA
1_71,1,2017-08-28T15:17:27Z,1999,3,Male,White/Caucasian,Yes,High School,Part time,18.4166666666667,NA,NA,NA
1_72,1,2017-08-30T11:47:19Z,1997,7,Female,White/Caucasian,Yes,High School,Student,20.0833333333333,NA,NA,NA
1_73,1,2017-08-30T11:26:18Z,1998,2,Male,White/Caucasian,Yes,High School,"Student,Part time",19.5,NA,NA,NA
1_74,1,2017-08-30T13:36:29Z,1998,11,Female,White/Caucasian,Yes,High School,"Student,Part time",18.75,NA,NA,NA
1_75,1,2017-08-30T14:05:09Z,1993,3,Male,"South Asian/Desi (Indian, Pakistani, Sri Lankan etc.)",Yes,Postgraduate degree,"Student,Full time",24.4166666666667,NA,NA,NA
1_76,1,2017-08-30T18:37:34Z,1999,4,Male,White/Caucasian,Yes,High School,"Student,Part time",18.3333333333333,NA,NA,NA
1_77,1,2017-08-30T18:52:10Z,1997,12,Female,Other Asian,Yes,High School,Student,19.6666666666667,NA,NA,NA
1_78,1,2017-08-30T18:48:12Z,1998,11,Female,Middle Eastern,No,High School,"Student,Part time",18.75,NA,NA,NA
1_80,1,2017-08-30T20:46:35Z,1999,6,Female,Indonesian,No,High School,"Student,Not employed",18.1666666666667,NA,NA,NA
1_81,1,2017-08-30T21:39:30Z,1996,7,Female,Chinese,No,High School,Student,21.0833333333333,NA,NA,NA
1_82,1,2017-08-30T21:55:20Z,1998,2,Male,Chinese,Yes,High School,Student,19.5,NA,NA,NA
1_83,1,2017-08-30T22:04:23Z,1999,2,Female,White/Caucasian,Yes,High School,Student,18.5,NA,NA,NA
1_86,1,2017-08-31T01:24:41Z,1998,10,Female,Other Asian,Yes,High School,Student,18.8333333333333,NA,NA,NA
1_87,1,2017-08-31T08:57:42Z,1998,3,Female,White/Caucasian,Yes,High School,Student,19.4166666666667,NA,NA,NA
1_88,1,2017-08-31T10:40:58Z,1998,8,Female,White/Caucasian,Yes,High School,"Student,Part time",19,NA,NA,NA
1_89,1,2017-08-31T11:12:50Z,1998,5,Male,White/Caucasian,Yes,High School,Student,19.25,NA,NA,NA
1_91,1,2017-08-31T13:16:10Z,1998,8,Female,Indonesian,No,High School,Student,19,NA,NA,NA
1_93,1,2017-08-31T19:39:36Z,1998,12,Female,White/Caucasian,Yes,High School,Student,18.6666666666667,NA,NA,NA
1_94,1,2017-08-31T20:01:10Z,1997,5,Female,White/Caucasian,Yes,High School,Part time,20.25,NA,NA,NA
1_95,1,2017-08-31T20:17:39Z,1998,11,Female,White/Caucasian,Yes,High School,Student,18.75,NA,NA,NA
1_96,1,2017-08-31T13:27:53Z,1999,2,Female,White/Caucasian,Yes,High School,"Student,Part time",18.5,NA,NA,NA
1_97,1,2017-08-31T21:35:13Z,1999,3,Female,Other Asian,No,High School,Student,18.4166666666667,NA,NA,NA
1_100,1,2017-09-01T12:25:27Z,1998,3,Female,Other Asian,No,High School,"Student,Part time",19.5,NA,NA,NA
1_101,1,2017-09-01T12:52:22Z,1999,9,Female,Chinese,Yes,High School,Student,18,NA,NA,NA
1_102,1,2017-09-01T14:12:53Z,1998,5,Male,Chinese,Yes,High School,Part time,19.3333333333333,NA,NA,NA
1_103,1,2017-09-01T11:58:54Z,1994,9,Male,Chinese,Yes,"Trade, technical or vocational training",Student,23,NA,NA,NA
1_104,1,2017-09-01T16:38:58Z,1998,12,Female,Chinese,No,High School,Student,18.75,NA,NA,NA
1_105,1,2017-09-01T19:03:51Z,1981,10,Female,"White/Caucasian,African or African American,Hispanic",Yes,Bachelor degree,Student,35.9166666666667,NA,NA,NA
1_108,1,2017-08-30T10:09:39Z,1998,3,Female,White/Caucasian,Yes,High School,"Student,Part time",19.4166666666667,NA,NA,NA
1_109,1,2017-09-02T14:52:18Z,1997,5,Female,Chinese,Yes,High School,"Student,Full time",20.3333333333333,NA,NA,NA
1_110,1,2017-09-02T16:11:42Z,1998,3,Female,White/Caucasian,Yes,High School,Student,19.5,NA,NA,NA
1_111,1,2017-09-02T16:04:24Z,1998,3,Male,White/Caucasian,Yes,High School,Part time,19.5,NA,NA,NA
1_113,1,2017-09-02T17:24:44Z,1998,12,Male,White/Caucasian,Yes,Did not complete high school,Student,18.75,NA,NA,NA
1_114,1,2017-09-02T19:00:07Z,1997,9,Female,Chinese,No,Bachelor degree,Student,20,NA,NA,NA
1_115,1,2017-09-02T21:05:10Z,1996,6,Female,Other Asian,No,High School,"Student,Part time",21.25,NA,NA,NA
1_117,1,2017-09-02T22:23:34Z,1997,1,Female,Chinese,No,High School,Student,20.6666666666667,NA,NA,NA
1_118,1,2017-09-03T08:16:20Z,1998,10,Female,White/Caucasian,Yes,High School,Student,18.9166666666667,NA,NA,NA
1_119,1,2017-09-01T15:05:51Z,1998,1,Female,White/Caucasian,Yes,High School,"Student,Part time",19.6666666666667,NA,NA,NA
1_120,1,2017-09-03T11:53:01Z,1998,6,Female,White/Caucasian,Yes,High School,"Student,Not employed",19.25,NA,NA,NA
1_121,1,2017-09-03T14:47:09Z,1998,12,Female,"South Asian/Desi (Indian, Pakistani, Sri Lankan etc.)",No,High School,Student,18.75,NA,NA,NA
1_122,1,2017-09-02T23:57:24Z,1994,5,Male,White/Caucasian,Yes,High School,Student,23.3333333333333,NA,NA,NA
1_124,1,2017-09-04T11:24:56Z,1998,4,Female,White/Caucasian,Yes,High School,Not employed,19.4166666666667,NA,NA,NA
1_126,1,2017-09-04T14:50:23Z,1999,1,Female,"South Asian/Desi (Indian, Pakistani, Sri Lankan etc.)",Yes,High School,Student,18.6666666666667,NA,NA,NA
1_127,1,2017-09-04T15:17:10Z,1998,2,Female,White/Caucasian,Yes,High School,Part time,19.5833333333333,NA,NA,NA
1_128,1,2017-09-04T15:50:54Z,1998,9,Female,Other Asian,Yes,High School,"Student,Part time",19,NA,NA,NA
1_131,1,2017-09-04T21:30:22Z,1998,12,Female,Middle Eastern,Yes,High School,"Student,Part time",18.75,NA,NA,NA
1_132,1,2017-09-04T22:01:23Z,1998,3,Female,White/Caucasian,Yes,High School,"Student,Part time",19.5,NA,NA,NA
1_133,1,2017-09-04T21:07:05Z,1998,7,Female,"White/Caucasian,Chinese",Yes,High School,Student,19.1666666666667,NA,NA,NA
1_134,1,2017-09-04T18:23:31Z,1997,2,Female,Other Asian,No,High School,Student,20.5833333333333,NA,NA,NA
1_136,1,2017-09-05T17:59:05Z,1996,3,Female,Chinese,Yes,High School,"Student,Part time",21.5,NA,NA,NA
1_137,1,2017-09-06T09:32:08Z,1998,9,Female,White/Caucasian,Yes,High School,Student,19,NA,NA,NA
1_138,1,2017-09-06T13:14:47Z,1990,6,Female,White/Caucasian,Yes,Bachelor degree,"Student,Part time",27.25,NA,NA,NA
1_139,1,2017-09-06T12:08:09Z,1996,7,Female,White/Caucasian,Yes,High School,"Student,Full time",21.1666666666667,NA,NA,NA
1_140,1,2017-09-06T18:20:20Z,1997,6,Male,White/Caucasian,Yes,High School,"Student,Part time",20.25,NA,NA,NA
1_142,1,2017-09-06T22:54:05Z,1999,4,Female,Other Asian,Yes,High School,"Student,Part time",18.4166666666667,NA,NA,NA
1_143,1,2017-09-06T22:58:42Z,1998,8,Other,White/Caucasian,Yes,High School,"Student,Part time",19.0833333333333,NA,NA,NA
1_145,1,2017-09-05T14:12:22Z,1998,2,Female,White/Caucasian,Yes,Bachelor degree,Student,19.5833333333333,NA,NA,NA
1_147,1,2017-09-08T10:01:51Z,1998,8,Female,White/Caucasian,Yes,High School,Student,19.0833333333333,NA,NA,NA
1_148,1,2017-09-08T10:11:12Z,1998,1,Female,"South Asian/Desi (Indian, Pakistani, Sri Lankan etc.)",Yes,High School,Student,19.6666666666667,NA,NA,NA
1_150,1,2017-09-09T12:55:13Z,1999,8,Male,White/Caucasian,Yes,High School,Student,18.0833333333333,NA,NA,NA
1_151,1,2017-09-09T13:07:51Z,1998,7,Female,White/Caucasian,Yes,High School,"Student,Part time",19.1666666666667,NA,NA,NA
1_152,1,2017-09-09T21:34:09Z,1998,6,Female,"South Asian/Desi (Indian, Pakistani, Sri Lankan etc.),Other Asian",Yes,High School,"Student,Part time",19.25,NA,NA,NA
1_153,1,2017-09-09T22:00:26Z,1999,2,Male,White/Caucasian,Yes,High School,"Student,Part time",18.5833333333333,NA,NA,NA
1_154,1,2017-09-10T02:02:08Z,1999,1,Female,Other Asian,Yes,High School,"Student,Part time",18.6666666666667,NA,NA,NA
1_155,1,2017-09-10T12:38:25Z,1999,3,Female,Chinese,Yes,High School,"Student,Full time",18.5,NA,NA,NA
1_156,1,2017-09-10T17:12:13Z,1997,11,Female,White/Caucasian,Yes,High School,"Student,Part time",19.8333333333333,NA,NA,NA
1_157,1,2017-09-10T18:35:05Z,1999,3,Female,"Other Asian,Other",No,High School,Student,18.5,NA,NA,NA
1_158,1,2017-09-10T20:53:57Z,1998,11,Female,Chinese,No,High School,Student,18.8333333333333,NA,NA,NA
1_159,1,2017-09-10T22:43:00Z,1999,4,Male,"Chinese,Other Asian",Yes,High School,Part time,18.4166666666667,NA,NA,NA
1_160,1,2017-09-10T23:05:53Z,1999,6,Female,White/Caucasian,Yes,High School,"Student,Full time",18.25,NA,NA,NA
1_161,1,2017-09-09T20:19:44Z,1998,11,Female,White/Caucasian,Yes,High School,Student,18.8333333333333,NA,NA,NA
1_162,1,2017-09-10T23:27:39Z,1997,4,Female,Indonesian,No,High School,Part time,20.4166666666667,NA,NA,NA
1_163,1,2017-09-11T12:02:06Z,1998,10,Male,White/Caucasian,Yes,High School,"Student,Not employed",18.9166666666667,NA,NA,NA
1_165,1,2017-09-11T14:00:50Z,1996,7,Female,Other Asian,Yes,High School,Student,21.1666666666667,NA,NA,NA
1_166,1,2017-09-11T11:04:02Z,1999,1,Female,White/Caucasian,Yes,High School,"Student,Part time",18.6666666666667,NA,NA,NA
1_167,1,2017-09-11T18:05:23Z,1999,3,Female,White/Caucasian,Yes,High School,Student,18.5,NA,NA,NA
1_168,1,2017-09-11T22:45:14Z,1997,11,Male,"White/Caucasian,Chinese",Yes,High School,Student,19.8333333333333,NA,NA,NA
1_169,1,2017-09-12T09:21:07Z,1991,7,Male,White/Caucasian,Yes,Bachelor degree,"Student,Part time",26.1666666666667,NA,NA,NA
1_171,1,2017-09-11T16:26:12Z,1997,6,Female,White/Caucasian,Yes,High School,Student,20.25,NA,NA,NA
1_172,1,2017-09-12T13:09:57Z,1994,7,Male,Chinese,Yes,High School,Student,23.1666666666667,NA,NA,NA
1_174,1,2017-09-12T17:21:28Z,1999,3,Female,"South Asian/Desi (Indian, Pakistani, Sri Lankan etc.)",Yes,High School,Student,18.5,NA,NA,NA
1_175,1,2017-09-12T17:49:49Z,1996,12,Female,Other Asian,No,High School,Student,20.75,NA,NA,NA
1_176,1,2017-09-12T20:25:57Z,1998,8,Female,"South Asian/Desi (Indian, Pakistani, Sri Lankan etc.)",NA,"Trade, technical or vocational training",Student,19.0833333333333,NA,NA,NA
1_177,1,2017-09-12T21:38:05Z,1997,4,Female,White/Caucasian,Yes,High School,"Student,Part time",20.4166666666667,NA,NA,NA
1_178,1,2017-09-12T22:23:24Z,1998,12,Female,White/Caucasian,Yes,High School,Student,18.75,NA,NA,NA
1_179,1,2017-09-13T08:31:10Z,1998,4,Female,White/Caucasian,Yes,High School,Student,19.4166666666667,NA,NA,NA
1_180,1,2017-09-13T09:29:35Z,1997,5,Female,"South Asian/Desi (Indian, Pakistani, Sri Lankan etc.)",Yes,High School,"Student,Part time",20.3333333333333,NA,NA,NA
1_181,1,2017-09-13T10:54:49Z,1998,12,Female,Other Asian,Yes,High School,Student,18.75,NA,NA,NA
1_182,1,2017-09-13T11:07:55Z,1998,2,Female,Chinese,No,High School,Student,19.5833333333333,NA,NA,NA
1_183,1,2017-09-13T09:48:52Z,1998,4,Female,Other Asian,No,High School,Part time,19.4166666666667,NA,NA,NA
1_184,1,2017-09-13T11:49:18Z,1999,1,Female,White/Caucasian,Yes,High School,"Student,Not employed",18.6666666666667,NA,NA,NA
1_185,1,2017-09-13T12:56:01Z,1998,4,Male,White/Caucasian,NA,High School,Student,19.4166666666667,NA,NA,NA
1_186,1,2017-09-13T14:18:28Z,1997,12,Male,"South Asian/Desi (Indian, Pakistani, Sri Lankan etc.)",Yes,High School,Student,19.75,NA,NA,NA
1_187,1,2017-09-13T15:57:28Z,1968,11,Female,White/Caucasian,No,Postgraduate degree,Part time,48.8333333333333,NA,NA,NA
1_188,1,2017-09-14T00:52:10Z,1986,6,Female,Prefer not to say,Yes,Bachelor degree,"Student,Part time",31.25,NA,NA,NA
1_191,1,2017-09-14T15:13:34Z,1994,5,Male,White/Caucasian,Yes,Bachelor degree,"Student,Full time",23.3333333333333,NA,NA,NA
1_192,1,2017-09-14T19:35:32Z,1997,11,Male,White/Caucasian,Yes,High School,Part time,19.8333333333333,NA,NA,NA
1_194,1,2017-09-15T00:43:38Z,1997,5,Female,Chinese,Yes,Bachelor degree,"Student,Part time",20.3333333333333,NA,NA,NA
1_195,1,2017-09-15T16:52:05Z,1998,10,Female,White/Caucasian,Yes,High School,"Student,Not employed",18.9166666666667,NA,NA,NA
1_196,1,2017-09-16T11:23:21Z,1997,8,Male,"South Asian/Desi (Indian, Pakistani, Sri Lankan etc.)",No,High School,Student,20.0833333333333,NA,NA,NA
1_197,1,2017-09-15T19:35:11Z,1997,7,Female,"White/Caucasian,Other Asian",Yes,High School,"Student,Part time",20.1666666666667,NA,NA,NA
1_198,1,2017-09-16T16:43:43Z,1998,8,Female,White/Caucasian,Yes,High School,"Student,Full time",19.0833333333333,NA,NA,NA
1_199,1,2017-09-16T16:44:18Z,1997,12,Male,White/Caucasian,Yes,High School,Student,19.75,NA,NA,NA
1_200,1,2017-09-16T18:31:06Z,1997,11,Male,Chinese,Prefer not to say,Bachelor degree,Not employed,19.8333333333333,NA,NA,NA
1_201,1,2017-09-16T19:18:40Z,1998,8,Female,White/Caucasian,Yes,High School,"Student,Part time",19.0833333333333,NA,NA,NA
1_202,1,2017-09-16T19:15:15Z,1998,4,Male,White/Caucasian,Yes,High School,Student,19.4166666666667,NA,NA,NA
1_203,1,2017-09-16T12:47:52Z,1997,8,Female,Chinese,No,High School,"Student,Full time",20.0833333333333,NA,NA,NA
1_204,1,2017-09-16T23:31:25Z,1999,1,Female,White/Caucasian,Yes,High School,"Student,Part time",18.6666666666667,NA,NA,NA
1_205,1,2017-09-17T03:04:00Z,1998,10,Female,Other Asian,No,High School,Student,18.9166666666667,NA,NA,NA
1_206,1,2017-09-17T10:42:05Z,1998,4,Female,Chinese,Yes,High School,Student,19.4166666666667,NA,NA,NA
1_207,1,2017-09-17T14:09:00Z,1998,10,Female,White/Caucasian,Yes,High School,Student,18.9166666666667,NA,NA,NA
1_208,1,2017-09-17T18:58:55Z,1998,12,Female,White/Caucasian,Yes,High School,"Student,Part time",18.75,NA,NA,NA
1_209,1,2017-09-17T22:05:34Z,1998,10,Female,White/Caucasian,Yes,High School,"Student,Part time",18.9166666666667,NA,NA,NA
1_210,1,2017-09-17T22:38:49Z,1998,6,Female,Indonesian,No,High School,"Student,Not employed",19.25,NA,NA,NA
1_211,1,2017-09-18T00:59:53Z,1980,6,Male,Other,No,Postgraduate degree,Not employed,37.25,NA,NA,NA
1_212,1,2017-09-18T10:22:50Z,1993,10,Female,White/Caucasian,Yes,Bachelor degree,"Student,Part time",23.9166666666667,NA,NA,NA
1_214,1,2017-09-18T16:13:12Z,1991,11,Female,White/Caucasian,Yes,Postgraduate degree,"Student,Part time",25.8333333333333,NA,NA,NA
1_215,1,2017-09-18T12:58:07Z,1998,8,Female,Other Asian,Yes,High School,"Student,Part time,Full time",19.0833333333333,NA,NA,NA
1_216,1,2017-09-18T18:43:38Z,1997,10,Male,"South Asian/Desi (Indian, Pakistani, Sri Lankan etc.)",Yes,High School,"Student,Not employed",19.9166666666667,NA,NA,NA
1_217,1,2017-09-18T21:41:05Z,1998,8,Female,White/Caucasian,Yes,High School,"Student,Part time",19.0833333333333,NA,NA,NA
1_218,1,2017-09-18T22:45:47Z,1997,7,Female,"South Asian/Desi (Indian, Pakistani, Sri Lankan etc.)",Yes,High School,Student,20.1666666666667,NA,NA,NA
1_219,1,2017-09-18T22:12:32Z,1998,6,Male,Chinese,No,High School,Student,19.25,NA,NA,NA
1_220,1,2017-09-19T10:22:39Z,1997,5,Female,Chinese,No,High School,Student,20.3333333333333,NA,NA,NA
1_221,1,2017-09-20T10:23:47Z,1999,2,Female,Other Asian,Yes,High School,"Student,Full time",18.5833333333333,NA,NA,NA
1_222,1,2017-09-20T19:27:55Z,1998,7,Male,Chinese,Yes,High School,Student,19.1666666666667,NA,NA,NA
1_223,1,2017-09-20T20:46:52Z,1998,7,Female,White/Caucasian,Yes,High School,Student,19.1666666666667,NA,NA,NA
1_224,1,2017-09-20T22:00:39Z,1998,5,Female,Chinese,Yes,High School,"Student,Part time",19.3333333333333,NA,NA,NA
1_226,1,2017-09-21T13:05:34Z,1998,4,Female,White/Caucasian,Yes,High School,"Student,Full time",19.4166666666667,NA,NA,NA
1_227,1,2017-09-21T21:25:06Z,1997,9,Female,Chinese,No,High School,Student,20,NA,NA,NA
1_228,1,2017-09-21T22:12:35Z,1999,1,Female,White/Caucasian,Yes,High School,"Student,Part time",18.6666666666667,NA,NA,NA
1_229,1,2017-09-22T11:34:38Z,1998,2,Male,White/Caucasian,Yes,High School,"Student,Full time",19.5833333333333,NA,NA,NA
1_230,1,2017-09-22T14:15:56Z,1998,11,Female,White/Caucasian,Yes,High School,Part time,18.8333333333333,NA,NA,NA
1_231,1,2017-09-22T18:47:44Z,1999,2,Female,Chinese,Yes,High School,"Student,Part time",18.5833333333333,NA,NA,NA
1_233,1,2017-09-23T22:04:50Z,1998,11,Male,White/Caucasian,Yes,High School,Student,18.8333333333333,NA,NA,NA
1_235,1,2017-09-24T00:02:24Z,1998,8,Female,Chinese,Yes,High School,Student,19.0833333333333,NA,NA,NA
1_236,1,2017-09-24T21:22:52Z,1999,3,Female,Chinese,Yes,High School,"Student,Part time",18.5,NA,NA,NA
1_237,1,2017-09-24T22:00:04Z,1997,9,Female,Other Asian,Yes,High School,Student,20,NA,NA,NA
1_239,1,2017-09-24T17:03:11Z,1995,10,Male,Chinese,No,High School,Student,21.9166666666667,NA,NA,NA
1_240,1,2017-09-21T21:44:54Z,1999,2,Female,Chinese,Yes,High School,Student,18.5833333333333,NA,NA,NA
1_241,1,2017-09-25T16:30:17Z,1999,3,Female,White/Caucasian,Yes,High School,Student,18.5,NA,NA,NA
1_242,1,2017-09-25T17:28:41Z,1997,10,Female,White/Caucasian,Yes,High School,Student,19.9166666666667,NA,NA,NA
1_243,1,2017-09-25T18:45:56Z,1996,2,Female,Other,No,High School,Student,21.5833333333333,NA,NA,NA
1_244,1,2017-09-25T21:02:57Z,1998,2,Female,Chinese,Yes,High School,Student,19.5833333333333,NA,NA,NA
1_246,1,2017-09-26T11:31:26Z,1997,11,Male,White/Caucasian,Yes,High School,Student,19.8333333333333,NA,NA,NA
1_247,1,2017-09-26T18:03:15Z,1999,3,Male,White/Caucasian,Yes,High School,"Student,Part time",18.5,NA,NA,NA
1_248,1,2017-09-27T13:22:44Z,1998,2,Female,White/Caucasian,Yes,High School,"Student,Not employed",19.5833333333333,NA,NA,NA
1_249,1,2017-09-27T16:45:01Z,1998,10,Male,Chinese,Yes,High School,"Student,Full time",18.9166666666667,NA,NA,NA
1_250,1,2017-09-27T15:15:28Z,1998,9,Female,White/Caucasian,Yes,High School,Student,19,NA,NA,NA
1_251,1,2017-09-27T21:10:46Z,1997,9,Female,White/Caucasian,Yes,High School,Student,20,NA,NA,NA
1_252,1,2017-09-28T09:45:37Z,1995,10,Male,Chinese,Yes,"Trade, technical or vocational training",Student,21.9166666666667,NA,NA,NA
1_253,1,2017-09-28T13:07:17Z,1995,12,Female,Chinese,No,High School,"Student,Part time",21.75,NA,NA,NA
1_255,1,2017-09-28T19:21:47Z,1997,8,Male,"White/Caucasian,Other Asian",Yes,High School,"Student,Part time",20.0833333333333,NA,NA,NA
