variable,text
scomp_10,"When I feel inadequate in some way, I try to remind myself that feelings of inadequacy are shared by most people"
scomp_11,I’m disapproving and judgemental about my own flaws and inadequacies
scomp_12,I’m intolerant and impatient towards those aspects of my personality I don’t like
scont_1,I am good at resisting temptation
scont_2,I have a hard time breaking bad habits
scont_3,I am lazy
scont_4,I say inappropriate things
scont_5,"I do certain things that are bad for me, if they are fun"
scont_6,I refuse things that are bad for me
scont_7,I wish I had more self-discipline
scont_8,People would say that I have iron self-discipline
scont_9,Pleasure and fun sometimes keep me from getting work done
scont_10,I have trouble concentrating
scont_11,I am able to work effectively toward long-term goals
scont_12,Sometimes I can’t stop myself from doing something even if I know it is wrong
scont_13,I often act without thinking through all the alternatives
sest_1,"On the whole, I am satisfied with myself"
sest_2,At times I think I am no good at all
sest_3,I feel that I have a number of good qualities
sest_4,I am able to do things as well as most other people
sest_5,I feel I do not have much to be proud of
sest_6,I certainly feel useless at times
sest_7,"I feel that I'm a person of worth, at least on an equal plane with others"
sest_8,I wish I could have more respect for myself
sest_9,"All in all, I am inclined to feel that I am a failure"
sest_10,I take a positive attitude toward myself
smast_1,I have little control over the things that happen to me
smast_2,There is really no way I can solve some of the problems I have
smast_3,There is little I can do to change many of the important things in my life
smast_4,I often feel helpless in dealing with the problems of life
smast_5,Sometimes I feel that I'm being pushed around in life
smast_6,What happens to me in the future mostly depends on me
smast_7,I can do just about anything I really set my mind to do
ss_fam_1,My family really tries to help me
ss_fam_2,I get the emotional help and support I need from my family
ss_fam_3,I can talk about my problems with my family
ss_fam_4,My family is willing to help me make decisions
ss_fr_1,My friends really try to help me
ss_fr_2,I can count on my friends when things go wrong
ss_fr_3,I have friends with whom I can share my joys and sorrows
ss_fr_4,I can talk about my problems with my friends
ss_so_1,There is a special person who is around when I am in need
ss_so_2,There is a special person with whom I can share my joys and sorrows
ss_so_3,I have a special person who is a real source of comfort to me
ss_so_4,There is a special person in my life who cares about my feelings
worry_1,"If I do not have enough time to do everything, I do not worry about it"
worry_2,My worries overwhelm me
worry_3,I do not tend to worry about things.
worry_4,Many situations make me worry
worry_5,"I know I should not worry about things, but I just cannot help it"
worry_6,When I am under pressure I worry a lot
worry_7,I am always worrying about something
worry_8,I find it easy to dismiss worrisome thoughts
worry_9,"As soon as I finish one task, I start to worry about everything else I have to do"
worry_10,I never worry about anything
worry_11,"When there is nothing more I can do about a concern, I do not worry about it any more"
worry_12,I have been a worrier all my life
worry_13,I notice that I have been worrying about things
worry_14,"Once I start worrying, I cannot stop"
worry_15,I worry all the time
worry_16,I worry about projects until they are all done
ac_1,For this question please select strongly agree
ac_2,Please select strongly disagree for this question
ac_3,Select neither agree nor disagree for this question
ac_4,For this question please select strongly disagree
unused_1,I - Use flattery to get ahead
unused_2,I - Believe in one true religion
unused_3,I - Seldom get emotional
unused_4,I - Enjoy wild flights of fantasy
unused_5,I - Am not easily affected by my emotions
unused_6,I - Like to stand during the national anthem
unused_7,I - Experience very few emotional highs and lows
unused_8,I - Tend to vote for liberal political candidates
unused_9,I - Make myself the center of attention
mlpres_1,I understand my life’s meaning
mlpres_2,My life has a clear sense of purpose
mlpres_3,I have a good sense of what makes my life meaningful
mlpres_4,I have discovered a satisfying life purpose
mlpres_5,My life has no clear purpose
mlsrch_1,I am looking for something that makes my life feel meaningful
mlsrch_2,I am always looking to find my life’s purpose
mlsrch_3,I am always searching for something that makes my life feel significant
mlsrch_4,I am seeking a purpose or mission for my life
mlsrch_5,I am searching for meaning in my life
id,id
StartDate,Start Date
DOB1,What year were you born?
DOB2,What month were you born?
Gender,What is your gender?
Ethnic,What is your ethnicity (choose all that apply)?
Eng,Is English your first language?
Edu,What is the highest level of education you have completed?
Emp,What is your current employment status (select all that apply)?
age,age
Honest1,"Our research relies on participants providing accurate responses. The following questions gives you a chance to let us know if you did not respond honestly, which will help us to produce more reliable findings. Answers to the following questions will NOT affect any payment you are eligible for. Did you respond honestly to survey questions?"
Honest2,"If you were us, would you include your responses in our study?"
PLS_T_First.Click,Timing - First Click
PLS_T_Last.Click,Timing - Last Click
PLS_T_Page.Submit,Timing - Page Submit
PLS_T_Click.Count,Timing - Click Count
Consent_T_First.Click,Timing - First Click
Consent_T_Last.Click,Timing - Last Click
Consent_T_Page.Submit,Timing - Page Submit
Consent_T_Click.Count,Timing - Click Count
View_T_First.Click,Timing - First Click
View_T_Last.Click,Timing - Last Click
View_T_Page.Submit,Timing - Page Submit
View_T_Click.Count,Timing - Click Count
DOB_T_First.Click,Timing - First Click
DOB_T_Last.Click,Timing - Last Click
DOB_T_Page.Submit,Timing - Page Submit
DOB_T_Click.Count,Timing - Click Count
Ethnic_T_First.Click,Timing - First Click
Ethnic_T_Last.Click,Timing - Last Click
Ethnic_T_Page.Submit,Timing - Page Submit
Ethnic_T_Click.Count,Timing - Click Count
Gender_T_First.Click,Timing - First Click
Gender_T_Last.Click,Timing - Last Click
Gender_T_Page.Submit,Timing - Page Submit
Gender_T_Click.Count,Timing - Click Count
Eng_T_First.Click,Timing - First Click
Eng_T_Last.Click,Timing - Last Click
Eng_T_Page.Submit,Timing - Page Submit
Eng_T_Click.Count,Timing - Click Count
Edu_T_First.Click,Timing - First Click
Edu_T_Last.Click,Timing - Last Click
Edu_T_Page.Submit,Timing - Page Submit
Edu_T_Click.Count,Timing - Click Count
Emp_T_First.Click,Timing - First Click
Emp_T_Last.Click,Timing - Last Click
Emp_T_Page.Submit,Timing - Page Submit
Emp_T_Click.Count,Timing - Click Count
BFI1_T_First.Click,Timing - First Click
BFI1_T_Last.Click,Timing - Last Click
BFI1_T_Page.Submit,Timing - Page Submit
BFI1_T_Click.Count,Timing - Click Count
BFI2_T_First.Click,Timing - First Click
BFI2_T_Last.Click,Timing - Last Click
BFI2_T_Page.Submit,Timing - Page Submit
BFI2_T_Click.Count,Timing - Click Count
BFI3_T_First.Click,Timing - First Click
BFI3_T_Last.Click,Timing - Last Click
BFI3_T_Page.Submit,Timing - Page Submit
BFI3_T_Click.Count,Timing - Click Count
BFI4_T_First.Click,Timing - First Click
BFI4_T_Last.Click,Timing - Last Click
BFI4_T_Page.Submit,Timing - Page Submit
BFI4_T_Click.Count,Timing - Click Count
BFI5_T_First.Click,Timing - First Click
BFI5_T_Last.Click,Timing - Last Click
BFI5_T_Page.Submit,Timing - Page Submit
BFI5_T_Click.Count,Timing - Click Count
BFI6_T_First.Click,Timing - First Click
BFI6_T_Last.Click,Timing - Last Click
BFI6_T_Page.Submit,Timing - Page Submit
BFI6_T_Click.Count,Timing - Click Count
BFI7_T_First.Click,Timing - First Click
BFI7_T_Last.Click,Timing - Last Click
BFI7_T_Page.Submit,Timing - Page Submit
BFI7_T_Click.Count,Timing - Click Count
IPIP1_T_First.Click,Timing - First Click
IPIP1_T_Last.Click,Timing - Last Click
IPIP1_T_Page.Submit,Timing - Page Submit
IPIP1_T_Click.Count,Timing - Click Count
IPIP2_T_First.Click,Timing - First Click
IPIP2_T_Last.Click,Timing - Last Click
IPIP2_T_Page.Submit,Timing - Page Submit
IPIP2_T_Click.Count,Timing - Click Count
IPIP3_T_First.Click,Timing - First Click
IPIP3_T_Last.Click,Timing - Last Click
IPIP3_T_Page.Submit,Timing - Page Submit
IPIP3_T_Click.Count,Timing - Click Count
IPIP4_T_First.Click,Timing - First Click
IPIP4_T_Last.Click,Timing - Last Click
IPIP4_T_Page.Submit,Timing - Page Submit
IPIP4_T_Click.Count,Timing - Click Count
IPIP5_T_First.Click,Timing - First Click
IPIP5_T_Last.Click,Timing - Last Click
IPIP5_T_Page.Submit,Timing - Page Submit
IPIP5_T_Click.Count,Timing - Click Count
IPIP6_T_First.Click,Timing - First Click
IPIP6_T_Last.Click,Timing - Last Click
IPIP6_T_Page.Submit,Timing - Page Submit
IPIP6_T_Click.Count,Timing - Click Count
IPIP7_T_First.Click,Timing - First Click
IPIP7_T_Last.Click,Timing - Last Click
IPIP7_T_Page.Submit,Timing - Page Submit
IPIP7_T_Click.Count,Timing - Click Count
IPIP8_T_First.Click,Timing - First Click
IPIP8_T_Last.Click,Timing - Last Click
IPIP8_T_Page.Submit,Timing - Page Submit
IPIP8_T_Click.Count,Timing - Click Count
IPIP9_T_First.Click,Timing - First Click
IPIP9_T_Last.Click,Timing - Last Click
IPIP9_T_Page.Submit,Timing - Page Submit
IPIP9_T_Click.Count,Timing - Click Count
IPIP10_T_First.Click,Timing - First Click
IPIP10_T_Last.Click,Timing - Last Click
IPIP10_T_Page.Submit,Timing - Page Submit
IPIP10_T_Click.Count,Timing - Click Count
IPIP11_T_First.Click,Timing - First Click
IPIP11_T_Last.Click,Timing - Last Click
IPIP11_T_Page.Submit,Timing - Page Submit
IPIP11_T_Click.Count,Timing - Click Count
IPIP12_T_First.Click,Timing - First Click
IPIP12_T_Last.Click,Timing - Last Click
IPIP12_T_Page.Submit,Timing - Page Submit
IPIP12_T_Click.Count,Timing - Click Count
IPIP13_T_First.Click,Timing - First Click
IPIP13_T_Last.Click,Timing - Last Click
IPIP13_T_Page.Submit,Timing - Page Submit
IPIP13_T_Click.Count,Timing - Click Count
IPIP14_T_First.Click,Timing - First Click
IPIP14_T_Last.Click,Timing - Last Click
IPIP14_T_Page.Submit,Timing - Page Submit
IPIP14_T_Click.Count,Timing - Click Count
IPIP15_T_First.Click,Timing - First Click
IPIP15_T_Last.Click,Timing - Last Click
IPIP15_T_Page.Submit,Timing - Page Submit
IPIP15_T_Click.Count,Timing - Click Count
B1_T_First.Click,Timing - First Click
B1_T_Last.Click,Timing - Last Click
B1_T_Page.Submit,Timing - Page Submit
B1_T_Click.Count,Timing - Click Count
B2_T_First.Click,Timing - First Click
B2_T_Last.Click,Timing - Last Click
B2_T_Page.Submit,Timing - Page Submit
B2_T_Click.Count,Timing - Click Count
B3_T_First.Click,Timing - First Click
B3_T_Last.Click,Timing - Last Click
B3_T_Page.Submit,Timing - Page Submit
B3_T_Click.Count,Timing - Click Count
B4_T_First.Click,Timing - First Click
B4_T_Last.Click,Timing - Last Click
B4_T_Page.Submit,Timing - Page Submit
B4_T_Click.Count,Timing - Click Count
B5_T_First.Click,Timing - First Click
B5_T_Last.Click,Timing - Last Click
B5_T_Page.Submit,Timing - Page Submit
B5_T_Click.Count,Timing - Click Count
B6_T_First.Click,Timing - First Click
B6_T_Last.Click,Timing - Last Click
B6_T_Page.Submit,Timing - Page Submit
B6_T_Click.Count,Timing - Click Count
B7_T_First.Click,Timing - First Click
B7_T_Last.Click,Timing - Last Click
B7_T_Page.Submit,Timing - Page Submit
B7_T_Click.Count,Timing - Click Count
B8_T_First.Click,Timing - First Click
B8_T_Last.Click,Timing - Last Click
